time_s,lat,lon,ele_m,speed_kmh,dist_m,brake,event,speed_m_s
0,-7.286449,112.631457,23.5,51.21538792189208,16.776462307589558,False,,14.226496644970021
1,-7.28645775,112.6315275,23.375,0.0,24.613031883748185,True,,0.0
2,-7.2864664999999995,112.631598,23.25,0.0,32.44960145990681,False,,0.0
3,-7.28647525,112.63166849999999,23.125,0.0,40.28617103606544,False,,0.0
4,-7.286484,112.631739,23.0,0.0,48.122740612224064,False,,0.0
5,-7.286490499999999,112.6318105,23.041666666666668,11.133017200478035,56.04202414573873,False,,3.092504777910565
6,-7.286497,112.63188199999999,23.083333333333332,19.973956816356786,63.961307679253395,False,,5.548321337876885
7,-7.2865035,112.6319535,23.125,30.98557720783917,71.88059121276807,False,,8.607104779955325
8,-7.28651,112.632025,23.166666666666668,37.77046736780731,79.79987474628273,False,,10.491796491057586
9,-7.286516499999999,112.63209649999999,23.208333333333332,44.89293377249137,87.7191582797974,False,,12.470259381247601
10,-7.286523,112.632168,23.25,56.76439772937108,95.63844181331206,False,,15.767888258158633
11,-7.286528142857143,112.63224185714284,23.321428571428573,0.0,103.80470652268197,True,,0.0
12,-7.2865332857142855,112.63231571428571,23.392857142857142,0.0,111.97097123205188,False,,0.0
13,-7.286538428571428,112.63238957142856,23.464285714285715,0.0,120.13723594142178,False,,0.0
14,-7.286543571428571,112.63246342857143,23.535714285714285,0.0,128.3035006507917,False,,0.0
15,-7.286548714285714,112.63253728571428,23.607142857142858,0.0,136.4697653601616,False,,0.0
16,-7.286553857142857,112.63261114285714,23.678571428571427,0.0,144.6360300695315,False,,0.0
17,-7.286559,112.632685,23.75,0.0,152.80229477890143,False,,0.0
18,-7.286562,112.63272666666667,23.75,12.995888742742174,157.4100915377641,False,,3.6099690952061594
19,-7.2865649999999995,112.63276833333333,23.75,24.928742057906838,162.01788829662675,False,,6.924650571640788
20,-7.286568,112.63281,23.75,34.677721019022506,166.6256850554894,False,,9.632700283061807
21,-7.2865785,112.6329395,23.75,40.85965529805027,180.95677688885144,False,,11.349904249458408
22,-7.286588999999999,112.633069,23.75,48.11171335110133,195.28786872221343,False,,13.364364819750369
23,-7.2865994999999995,112.6331985,23.75,55.75348606077677,209.61896055557546,False,,15.48707946132688
24,-7.28661,112.633328,23.75,61.09313233240399,223.95005238893748,False,,16.970314536778886
25,-7.286623,112.633467,23.5,51.7780085138298,239.3493217339014,True,,14.3827801427305
26,-7.2866306,112.633547,23.3,0.0,248.2134512116179,True,,0.0
27,-7.2866382,112.63362699999999,23.1,0.0,257.07758068933435,False,,0.0
28,-7.2866458,112.633707,22.9,0.0,265.94171016705087,False,,0.0
29,-7.2866534,112.633787,22.7,0.0,274.80583964476733,False,,0.0
30,-7.286661,112.633867,22.5,0.0,283.66996912248385,False,,0.0
31,-7.2866684,112.6339452,22.35,9.427262800884728,292.33434813375015,False,,2.618684111356869
32,-7.2866758,112.6340234,22.2,15.043849306645,300.99872714501646,False,,4.178847029623611
33,-7.2866832,112.6341016,22.05,30.161637807781016,309.66310615628277,False,,8.378232724383615
34,-7.2866906,112.6341798,21.9,43.64596347421861,318.32748516754907,False,,12.123878742838503
35,-7.286698,112.634258,21.75,56.150723485286484,326.9918641788154,False,,15.597423190357356
36,-7.286707000000001,112.6344158,21.6,64.40500056873317,344.425462474842,False,,17.890277935759215
37,-7.286716,112.6345736,21.45,58.30674012254932,361.85906077086855,True,,16.196316700708145
38,-7.286725000000001,112.6347314,21.3,55.593005848481255,379.29265906689517,False,,15.442501624578126
39,-7.286734,112.6348892,21.15,59.24567297905287,396.72625736292173,False,,16.45713138307024
40,-7.286743,112.635047,21.0,59.18205110113397,414.15985565894835,False,,16.43945863920388
41,-7.286692,112.635175,21.0,64.60014834781731,429.37424349464555,False,,17.944485652171476
42,-7.286677,112.635269,21.0,36.10930223522908,439.8754586169346,True,,10.030361732008078
43,-7.286681,112.635382,21.0,51.33579339884017,452.34694341803464,False,,14.259942610788935
44,-7.286691,112.635465,21.0,60.27544890328255,461.5688699682661,False,,16.74318025091182
45,-7.286764333333333,112.63545466666666,21.25,0.0,469.8024302772542,True,,0.0
46,-7.286837666666667,112.63544433333334,21.5,0.0,478.0359905862423,False,,0.0
47,-7.286911,112.635434,21.75,0.0,486.26955089523034,False,,0.0
48,-7.286982733333334,112.63542193333333,21.983333333333334,5.102188916927526,494.3562073782624,False,,1.417274699146535
49,-7.287054466666667,112.63540986666668,22.216666666666665,4.389353328980263,502.4428638612944,False,,1.2192648136056288
50,-7.2871262,112.6353978,22.45,4.518563031852394,510.5295203443265,False,,1.2551563977367761
51,-7.287197933333333,112.63538573333334,22.683333333333334,10.221852184560454,518.6161768273586,False,,2.8394033846001263
52,-7.287269666666667,112.63537366666667,22.916666666666668,20.458670563789106,526.7028333103906,False,,5.682964045496973
53,-7.2873414,112.63536160000001,23.15,23.8589183043713,534.7894897934227,False,,6.627477306769806
54,-7.287413133333334,112.63534953333334,23.383333333333333,25.09563752709129,542.8761462764547,False,,6.971010424192025
55,-7.2874848666666665,112.63533746666667,23.616666666666667,34.00111567949417,550.9628027594867,False,,9.444754355415046
56,-7.2875566,112.6353254,23.85,36.33455892547267,559.0494592425188,False,,10.09293303485352
57,-7.287628333333333,112.63531333333334,24.083333333333332,42.79276777317308,567.1361157255509,False,,11.886879936992523
