time_s,lat,lon,ele_m,speed_kmh,dist_m,brake,event,speed_m_s
0,-7.288334,112.677363,29.25,47.75067440694968,15.130873735040783,False,,13.264076224152689
1,-7.2881965,112.67734899999999,29.125,58.09035495520165,30.4979545331572,False,,16.136209709778235
2,-7.288059,112.677335,29.0,62.8356255384246,45.86503533127362,False,,17.454340427340167
3,-7.28799,112.67733675,29.0,0.0,53.539912816670004,True,,0.0
4,-7.287921,112.67733849999999,29.0,0.0,61.2147903020664,False,,0.0
5,-7.287852,112.67734025,29.0,0.0,68.88966778746278,False,,0.0
6,-7.287783,112.677342,29.0,0.0,76.56454527285918,False,,0.0
7,-7.28772225,112.67735075,28.9375,10.757737952322417,83.38823013976182,False,,2.9882605423117825
8,-7.2876615000000005,112.6773595,28.875,27.908723046560695,90.21191500666444,False,,7.752423068489081
9,-7.28760075,112.67736825,28.8125,38.473803972951245,97.03559987356708,False,,10.687167770264235
10,-7.28754,112.677377,28.75,51.39509996853923,103.85928474046972,False,,14.276416657927562
11,-7.287389,112.677471,29.0,59.719998633880046,123.59280561206484,False,,16.588888509411124
12,-7.287291,112.677568,29.5,33.562462090735124,138.864047955978,True,,9.322906136315313
13,-7.287228,112.677662,29.5,51.99319697036344,151.37673057151568,False,,14.442554713989844
14,-7.287191,112.677767,29.5,60.55827554439003,163.66697289791182,False,,16.821743206775007
15,-7.2872055,112.67789350000001,29.5,62.72831232110911,177.71236541476446,False,,17.424531200308085
16,-7.28722,112.67802,29.5,62.78582680967965,191.75775793161708,False,,17.440507447133236
17,-7.287252666666666,112.67808766666667,29.416666666666668,0.0,200.0581585775101,True,,0.0
18,-7.287285333333333,112.67815533333334,29.333333333333332,0.0,208.35855922340315,False,,0.0
19,-7.287318,112.678223,29.25,0.0,216.65895986929618,False,,0.0
20,-7.287356333333333,112.678278,29.166666666666668,17.691094166585263,224.0730623883354,False,,4.914192824051462
21,-7.287394666666667,112.678333,29.083333333333332,33.1988783145675,231.4871649073746,False,,9.221910642935416
22,-7.287433,112.678388,29.0,50.69342295575517,238.9012674264138,False,,14.081506376598657
23,-7.287423,112.678439,29.0,58.642592107868325,244.63524976843314,False,,16.289608918852313
24,-7.287403,112.678541,29.0,62.749244002712246,256.103214821987,False,,17.430345556308957
25,-7.287365,112.678614,29.0,66.735029959588,265.19625200690166,False,,18.53750832210778
26,-7.2872683333333335,112.678712,29.083333333333332,64.0138265879036,280.4400680394565,False,,17.781618496639886
27,-7.287171666666667,112.67881,29.166666666666668,63.23551807669515,295.6838840720114,False,,17.565421687970876
28,-7.287075,112.678908,29.25,60.905398402249546,310.9277001045662,False,,16.918166222847095
29,-7.287004,112.678978,29.25,40.067565858893,321.9702950081095,True,,11.129879405248055
30,-7.286912,112.67906885714285,29.214285714285715,47.726421433810415,336.290812818244,False,,13.25733928716956
31,-7.28682,112.67915971428572,29.178571428571427,49.972003300412844,350.6113306283785,False,,13.881112027892456
32,-7.286728,112.67925057142857,29.142857142857142,52.51351694952411,364.93184843851293,False,,14.587088041534475
33,-7.286636,112.67934142857143,29.107142857142858,54.948073996554136,379.25236624864743,False,,15.263353887931704
34,-7.286544,112.67943228571428,29.071428571428573,54.054035646223596,393.57288405878194,False,,15.015009901728776
35,-7.286452,112.67952314285715,29.035714285714285,57.51057566335217,407.8934018689164,False,,15.975159906486713
36,-7.28636,112.679614,29.0,58.30992169344681,422.2139196790509,False,,16.197200470401892
37,-7.2862665,112.67970600000001,29.0,59.87940316523179,436.74182775837,False,,16.63316754589772
38,-7.286173,112.679798,29.0,59.73620068729103,451.26973583768904,False,,16.593389079803064
39,-7.2860686,112.679902,29.0,58.07531518662562,467.58980311051704,False,,16.132031996284894
40,-7.2859642,112.680006,29.0,60.00495974781606,483.90987038334504,False,,16.66804437439335
41,-7.2858598,112.68011,29.0,61.33901805118146,500.229937656173,False,,17.038616125328183
42,-7.285755399999999,112.680214,29.0,63.987851526565535,516.550004929001,False,,17.77440320182376
43,-7.285651,112.680318,29.0,60.20434929937119,532.870072201829,False,,16.72343036093644
44,-7.285554,112.680413,29.0,60.3321685765168,547.9076634389899,False,,16.75893571569911
45,-7.285500600000001,112.680466,28.9,0.0,556.2401541694993,True,,0.0
